precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL SOCIALIST ROMÂN-voturi"
9,BRĂILA,"CĂMIN CULTURAL",268,UNIREA,44355,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:16:21",1039,1023,0,11,5,650,634,0,11,5,598,52,1088,438,109,377,41,5,31,2,26,7
9,BRĂILA,"CĂMIN CULTURAL",164,"BERTEŞTII DE JOS",42842,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:09:11",248,241,0,7,0,170,163,0,7,0,159,11,300,130,102,35,12,0,0,0,10,0
9,BRĂILA,"CĂMIN CULTURAL",197,GROPENI,43313,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 18:03:42",1407,1391,0,7,9,929,913,0,7,9,879,31,1600,690,477,309,39,6,13,2,32,1
9,BRĂILA,"CĂMIN CULTURAL",267,UNIREA,44355,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:34:07",839,804,0,19,16,578,543,0,19,16,549,29,903,325,110,387,24,7,3,2,15,1
9,BRĂILA,"CĂMIN CULTURAL CONSTANTIN GABRIELESCU",167,"BORDEI VERDE",42913,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:37:56",501,490,0,9,2,330,319,0,9,2,326,4,550,220,110,193,14,1,3,1,4,0
9,BRĂILA,"CAMIN CULTURAL DIN FOSTUL SAT TIBANESTI",261,TUFEŞTI,44300,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 15:39:27",1048,1042,0,6,0,574,568,0,6,0,556,18,1150,576,80,399,41,4,12,2,16,2
9,BRĂILA,"CAMIN CULTURAL GRADISTEA",194,GRĂDIŞTEA,43279,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:56:40",1025,962,0,24,39,650,587,0,24,39,603,47,1096,446,503,61,26,1,2,3,7,0
9,BRĂILA,"CAMIN CULTURAL LATINU",209,MĂXINENI,43563,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:06:34",578,567,2,6,3,342,333,0,6,3,314,28,589,247,19,240,36,7,3,0,9,0
9,BRĂILA,"CAMIN CULTURAL M.MIRESII",214,"MOVILA MIRESII",43652,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:12:12",1140,1130,0,3,7,700,690,0,3,7,663,37,1296,596,209,366,38,17,12,0,19,2
9,BRĂILA,"CĂMIN CULTURAL SAT IBRIANU",195,GRĂDIŞTEA,43279,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 16:29:32",489,449,0,15,25,337,297,0,15,25,314,21,523,188,256,30,23,1,0,1,3,0
9,BRĂILA,"CĂMIN CULTURAL SAT MARALOIU",196,GRĂDIŞTEA,43279,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 16:00:21",226,208,0,12,6,163,145,0,12,6,158,5,228,65,120,27,7,0,2,0,2,0
9,BRĂILA,"CAMIN CULTURAL ZAVOAIA",282,ZĂVOAIA,44532,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:32:56",932,921,0,2,9,559,548,0,2,9,535,24,950,391,314,158,38,0,4,0,21,0
9,BRĂILA,"CĂMINUI CULTURAL NR. 2",262,TUFEŞTI,44300,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:19:59",836,831,0,5,0,496,491,0,5,0,473,23,900,404,49,352,41,1,11,2,16,1
9,BRĂILA,"CĂMINUL CULTURAL ARICIU",227,"SALCIA TUDOR",43867,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:12:07",135,129,0,6,0,82,76,0,6,0,81,1,300,218,20,37,19,1,3,0,1,0
9,BRĂILA,"CĂMINUL CULTURAL BERTEȘTII DE JOS",162,"BERTEŞTII DE JOS",42842,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:22:53",671,669,0,2,0,392,390,0,2,0,369,23,711,319,190,149,21,0,1,1,6,1
9,BRĂILA,"CĂMINUL CULTURAL BERTEȘTII DE SUS",163,"BERTEŞTII DE JOS",42842,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:19:27",256,251,0,5,0,154,149,0,5,0,142,12,290,136,89,40,11,0,0,0,2,0
9,BRĂILA,"CĂMINUL CULTURAL COMĂNEASCA",258,"TUDOR VLADIMIRESCU",44257,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:49:17",173,166,0,7,0,110,103,0,7,0,105,5,184,74,28,28,3,1,35,0,10,0
9,BRĂILA,"CĂMINUL CULTURAL CORBU NOU",207,MĂXINENI,43563,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:13:21",678,656,1,4,17,443,422,0,4,17,428,15,800,357,27,349,31,1,4,1,14,1
9,BRĂILA,"CĂMINUL CULTURAL CORBU VECHI",208,MĂXINENI,43563,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:31:34",215,207,0,8,0,139,131,0,8,0,135,4,250,111,9,97,12,1,9,1,6,0
9,BRĂILA,"CĂMINUL CULTURAL DUDESCU",284,ZĂVOAIA,44532,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:47:49",585,583,0,2,0,364,362,0,2,0,355,9,579,215,188,130,16,1,4,1,14,1
9,BRĂILA,"CĂMINUL CULTURAL II",171,CHISCANI,42708,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:03:07",1708,1704,0,4,0,872,868,0,4,0,828,44,1844,972,197,396,116,1,34,4,75,5
9,BRĂILA,"CAMINUL CULTURAL JUGUREANU",266,ULMU,44328,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:02:29",740,725,0,13,2,470,455,0,13,2,443,27,800,330,357,54,17,1,3,1,10,0
9,BRĂILA,"CĂMINUL CULTURAL LIȘCOTEANCA",168,"BORDEI VERDE",42913,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:24:47",436,427,0,9,0,271,262,0,9,0,254,17,493,222,52,184,10,1,2,0,5,0
9,BRĂILA,"CĂMINUL CULTURAL MĂGURENI",203,MĂRAŞU,43493,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:58:48",399,395,0,2,2,230,226,0,2,2,218,12,472,242,72,122,15,1,4,2,2,0
9,BRĂILA,"CĂMINUL CULTURAL MĂRAȘU",201,MĂRAŞU,43493,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:11:38",717,708,0,5,4,464,455,0,5,4,439,25,800,336,125,239,47,2,11,1,12,2
