precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","DUMITRESCU GHEORGHE-voturi"
3,ARGEŞ,"CĂMIN CULTURAL BELEŢI",229,BELEŢI-NEGREŞTI,14352,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:00:48",527,517,3,0,7,392,383,2,0,7,377,15,571,179,95,46,210,21,5
3,ARGEŞ,"CĂMIN CULTURAL NEGREŞTI",230,BELEŢI-NEGREŞTI,14352,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:14:49",928,920,1,4,3,692,685,0,4,3,678,14,1011,319,383,113,144,27,11
