precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MUREŞAN GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","DALE CĂLIN-RADU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VANCA AUREL-PARTIDUL NAȚIONAL LIBERAL-voturi","SABOU LIA-PARTIDUL ECOLOGIST ROMÂN-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",229,ARINIŞ,107047,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:32:43",195,158,3,26,8,156,119,3,26,8,153,3,180,24,95,7,7,44
26,MARAMUREŞ,"CĂMINUL CULTURAL",227,ARINIŞ,107047,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:06:04",582,536,0,27,19,412,366,0,27,19,397,15,606,194,270,22,51,54
26,MARAMUREŞ,"CĂMINUL CULTURAL",228,ARINIŞ,107047,3,PART,PRCNCT,P,P_SV,"2024-06-10 05:03:08",157,145,0,10,2,128,116,0,10,2,125,3,170,42,65,44,10,6
