precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŢARAN ZENOVIA-VIOLETA-PARTIDUL SOCIAL DEMOCRAT-voturi","TABARCEA GEORGIANA-ANCA-PARTIDUL NAȚIONAL LIBERAL-voturi","ŞTEFĂROI DUMITRU-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
35,SUCEAVA,"CENTRUL CULTURAL FLORIN PIERSIC CORLATA",220,BERCHIŞEŞTI,151576,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:57:05",407,396,0,2,9,259,248,0,2,9,250,9,450,191,175,72,3
35,SUCEAVA,"ȘCOALA GIMNAZIALĂ BERCHIȘEȘTI",218,BERCHIŞEŞTI,151576,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:17:11",1079,1059,0,8,12,698,678,0,8,12,678,17,1190,495,237,427,14
35,SUCEAVA,"ȘCOALA GIMNAZIALĂ BERCHIȘEȘTI",219,BERCHIŞEŞTI,151576,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:21:13",1115,1065,0,8,42,655,605,0,8,42,630,25,1145,490,386,239,5
