precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","LIGA PENTRU UNIFICAREA PATRIOȚILOR-voturi"
3,ARGEŞ,"ŞCOALA GENERALĂ I-IV CÂNDEȘTI, STRADA MAGISTRAT SORIN MOISESCU, NR.182",195,"ALBEŞTII DE MUSCEL",13891,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:08:27",355,335,0,6,14,291,271,0,6,14,283,8,400,109,52,36,182,11,2
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ NR.1 ALBEȘTII DE MUSCEL, STRADA MAGISTRAT SORIN MOISESCU NR.360",194,"ALBEŞTII DE MUSCEL",13891,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:39:03",861,821,0,7,33,647,607,0,7,33,587,18,930,325,79,62,393,48,5
