precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PENTRU NATURĂ, OAMENI ŞI ANIMALE-voturi","PARTIDUL VERDE-voturi","ŢOGAN OANA-voturi","RÎZNIC FLORIN-voturi"
24,IAŞI,"CASA DE CULTURA MIHAIL SADOVEANU",262,"MUNICIPIUL PAŞCANI",95391,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:25:36",1161,1155,0,6,0,489,483,0,6,0,478,11,1300,811,255,100,29,24,24,1,0,8,9,22,6
24,IAŞI,"CASA DE CULTURA MIHAIL SADOVEANU",263,"MUNICIPIUL PAŞCANI",95391,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:48:39",1224,1220,1,3,0,531,528,0,3,0,515,16,1400,869,217,137,38,24,43,6,11,12,5,18,4
24,IAŞI,"COLEGIUL NAȚIONAL MIHAIL SADOVEANU",270,"MUNICIPIUL PAŞCANI",95391,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:43:54",1908,1901,0,7,0,588,581,0,7,0,568,20,2100,1512,260,153,52,26,41,6,5,4,7,11,3
24,IAŞI,"COLEGIUL NAȚIONAL MIHAIL SADOVEANU",272,"MUNICIPIUL PAŞCANI",95391,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:22:01",1788,1784,0,4,0,4,0,0,4,0,4,0,2000,1996,0,1,0,0,1,1,0,0,0,1,0
24,IAŞI,"COLEGIUL NAȚIONAL MIHAIL SADOVEANU",269,"MUNICIPIUL PAŞCANI",95391,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:46:17",1642,1624,1,9,8,508,490,1,9,8,486,6,1800,1304,233,127,31,19,21,6,6,6,11,21,5
24,IAŞI,"COLEGIUL NAȚIONAL MIHAIL SADOVEANU",271,"MUNICIPIUL PAŞCANI",95391,1,PART,PRCNCT,CL,CL_SV,"2024-06-09 23:36:59",1753,1748,0,5,0,5,0,0,5,0,5,0,1900,1895,1,3,1,0,0,0,0,0,0,0,0
24,IAŞI,"COLEGIU TEHNIC DE CAI FERATE UNIREA",276,"MUNICIPIUL PAŞCANI",95391,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:40:47",1508,1501,0,7,0,630,623,0,7,0,605,25,1600,970,262,210,35,11,40,4,6,1,18,12,6
24,IAŞI,"COLEGIU TEHNIC DE CAI FERATE UNIREA",277,"MUNICIPIUL PAŞCANI",95391,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:29:50",1071,1061,0,8,2,472,462,0,8,2,455,15,1200,728,227,121,26,10,16,4,1,4,35,11,0
24,IAŞI,"GRADINITA CU PROGRAM PRELUNGIT NR. 3",279,"MUNICIPIUL PAŞCANI",95391,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:58:04",1171,1163,0,7,1,434,426,0,7,1,418,16,1300,866,178,137,34,11,34,4,3,2,7,3,5
24,IAŞI,"GRADINITA CU PROGRAM PRELUNGIT NR. 3",278,"MUNICIPIUL PAŞCANI",95391,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:56:33",1009,1004,0,5,0,430,425,0,5,0,418,12,1100,670,180,144,30,11,27,9,1,3,4,9,0
24,IAŞI,"GRADINITA GISTESTI",287,"MUNICIPIUL PAŞCANI",95391,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:51:25",1440,1412,0,7,21,672,644,0,7,21,645,27,1600,928,230,255,49,12,27,7,5,3,46,5,6
24,IAŞI,"GRADINITA NR. 1",265,"MUNICIPIUL PAŞCANI",95391,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:02:35",1087,1077,0,8,2,455,445,0,8,2,437,8,1200,755,221,121,31,15,18,3,3,1,7,10,7
24,IAŞI,"GRADINITA VATRA",268,"MUNICIPIUL PAŞCANI",95391,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:00:25",1415,1393,0,7,15,601,579,0,7,15,572,29,1600,999,215,178,52,25,51,10,5,5,18,12,1
24,IAŞI,"GRUP SCOLAR MIHAI BUSUIOC",283,"MUNICIPIUL PAŞCANI",95391,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:13:02",1053,1046,2,5,0,461,456,0,5,0,444,17,1100,639,187,137,39,18,42,8,1,5,3,4,0
24,IAŞI,"GRUP SCOLAR MIHAI BUSUIOC",282,"MUNICIPIUL PAŞCANI",95391,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:45:34",1200,1190,1,8,1,501,492,0,8,1,490,11,1300,799,255,109,45,13,34,2,3,7,7,11,4
24,IAŞI,"LICEUL MIRON COSTIN",281,"MUNICIPIUL PAŞCANI",95391,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:11:57",1170,1162,0,8,0,498,490,0,8,0,486,12,1300,802,206,145,40,19,40,4,0,4,11,14,3
24,IAŞI,"LICEUL MIRON COSTIN",280,"MUNICIPIUL PAŞCANI",95391,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:25:57",1203,1195,2,6,0,465,459,0,6,0,452,13,1300,835,193,146,33,14,22,14,0,4,10,11,5
24,IAŞI,"LICEUL TEHNOLOGIC ECONOMIC ”NICOLAE IORGA”",273,"MUNICIPIUL PAŞCANI",95391,5,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:02:48",1407,1402,0,5,0,516,511,0,5,0,501,15,1600,1084,258,105,44,25,33,5,2,4,3,18,4
24,IAŞI,"LICEUL TEHNOLOGIC ECONOMIC ”NICOLAE IORGA”",274,"MUNICIPIUL PAŞCANI",95391,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:15:42",1718,1709,1,8,0,845,837,0,8,0,817,28,1900,1055,413,192,54,55,38,15,3,5,7,30,5
24,IAŞI,"SCOALA BLAGESTI",284,"MUNICIPIUL PAŞCANI",95391,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:48:45",1113,1107,1,5,0,504,499,0,5,0,485,19,1200,696,137,241,33,31,21,4,4,5,2,6,1
24,IAŞI,"SCOALA BOSTENI",285,"MUNICIPIUL PAŞCANI",95391,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:30:26",1264,1260,0,4,0,591,587,0,4,0,554,37,1400,809,202,151,34,13,126,8,4,5,3,7,1
