precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL ROMÂNIA PUTERNICĂ-voturi"
37,TIMIŞ,"ANEXA ADMINISTRATIVĂ A FOSTEI UNITĂȚI MILITARE - GIROC",428,GIROC,155314,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:28:07",1748,1714,14,15,5,864,843,1,15,5,827,14,2000,1159,10,308,94,5,34,14,34,291,7,13,17
37,TIMIŞ,"ANEXA ADMINISTRATIVĂ A FOSTEI UNITĂȚI MILITARE - GIROC",429,GIROC,155314,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:44:23",1785,1745,13,27,0,1081,1053,1,27,0,844,0,2000,3,18,279,52,7,11,13,48,391,2,8,15
37,TIMIŞ,"BAZĂ DE AGREMENT ȘI TRATAMENT (ȘTRAND TERMAL)",461,LOVRIN,157530,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:15:38",1742,1720,4,5,13,754,736,0,5,13,696,58,1800,1046,9,452,77,5,43,14,3,80,3,6,4
37,TIMIŞ,"BIBLIOTECA COMUNALĂ ORȚIȘOARA",498,ORŢIŞOARA,158010,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:10:10",977,956,4,12,5,581,563,1,12,5,549,32,1000,419,13,240,59,5,38,69,4,100,10,9,2
37,TIMIŞ,"BIBLIOTECA COMUNALĂ PESAC",513,PESAC,159507,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:12:32",909,890,4,3,12,459,444,0,3,12,426,33,1000,541,4,275,114,3,10,2,2,11,2,1,2
37,TIMIŞ,"BIBLIOTECA LOCALĂ ”DIMITRIE ŢICHINDEAL” BECICHERECU MIC",318,"BECICHERECU MIC",155760,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:36:39",1196,1179,5,8,4,545,531,2,8,4,508,37,1400,855,3,266,69,3,14,22,9,107,7,5,3
37,TIMIŞ,"BIROUL LOCUINŢE/DIRECŢIA CLĂDIRI, TERENURI ŞI DOTĂRI DIVERSE- PRIMĂRIA MUNICIPIULUI TIMIŞOARA",50,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:26:18",717,632,77,8,0,285,272,5,8,0,281,4,1100,815,15,98,28,2,3,7,5,120,1,1,1
37,TIMIŞ,"CĂMIN CULTURAL CRAI NOU",437,GIULVĂZ,157317,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:58:23",350,342,0,8,0,157,149,0,8,0,141,16,400,243,3,58,28,1,26,0,3,20,1,1,0
37,TIMIŞ,"CĂMIN CULTURAL IVANDA",438,GIULVĂZ,157317,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:34:23",490,489,0,1,0,219,218,0,1,0,212,7,500,281,8,106,40,1,17,5,2,24,2,6,1
37,TIMIŞ,"CAMIN CULTURAL LUGOJEL",405,GAVOJDIA,157031,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:36:42",641,616,1,6,18,387,362,1,6,18,375,12,800,413,9,247,36,1,18,5,3,30,0,24,2
