precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL BĂNEŞTI",306,FÂNTÂNELE,148453,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:22:19",918,913,0,3,2,475,470,0,3,2,454,21,1000,525,144,100,58,23,34,6,19,45,25
35,SUCEAVA,"CONTAINER MOBIL",308,FÂNTÂNELE,148453,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:49:48",170,166,1,3,0,105,102,0,3,0,100,5,179,74,61,12,8,10,4,0,3,1,1
35,SUCEAVA,"GRĂDINIȚA CU PROGRAM NORMAL CU 3 GRUPE NR.1 FÂNTÂNELE",305,FÂNTÂNELE,148453,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:54:53",922,911,6,5,0,457,450,2,5,0,448,9,1000,543,164,54,89,44,10,8,19,41,19
35,SUCEAVA,"SCOALA DIN SATUL COTU DOBEI",307,FÂNTÂNELE,148453,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:17:05",153,150,0,3,0,91,88,0,3,0,86,5,179,88,45,9,17,4,1,0,4,2,4
35,SUCEAVA,"ȘCOALA PRIMARĂ CU CLASELE I-IV STAMATE",309,FÂNTÂNELE,148453,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:29:47",1543,1529,0,10,4,970,956,0,10,4,917,53,1700,730,388,105,59,20,63,12,38,48,184
