precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL COROIEŞTI",457,"SĂLAŞU DE SUS",91116,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:22:34",157,150,0,4,3,123,116,0,4,3,123,0,170,47,6,17,80,19,1
22,HUNEDOARA,"CĂMINUL CULTURAL MĂLĂIEŞTI",458,"SĂLAŞU DE SUS",91116,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:02:02",122,114,0,4,4,102,94,0,4,4,99,3,125,23,4,11,31,53,0
22,HUNEDOARA,"CĂMINUL CULTURAL NUCȘOARA",459,"SĂLAŞU DE SUS",91116,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:53:32",242,226,5,6,5,174,162,1,6,5,168,6,250,76,6,0,96,60,6
22,HUNEDOARA,"CĂMINUL CULTURAL RÂU MIC",463,"SĂLAŞU DE SUS",91116,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:10:04",141,136,0,4,1,101,96,0,4,1,101,0,150,49,2,5,63,30,1
22,HUNEDOARA,"CĂMINUL CULTURAL SĂLAȘU DE SUS",456,"SĂLAŞU DE SUS",91116,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:29:02",431,404,1,17,9,293,267,0,17,9,285,8,454,161,15,23,135,96,16
22,HUNEDOARA,"CĂMINUL CULTURAL ZĂVOI",465,"SĂLAŞU DE SUS",91116,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:07:12",111,105,0,5,1,85,79,0,5,1,84,1,113,28,6,3,40,24,11
22,HUNEDOARA,"ŞCOALA GENERALĂ OHABA DE SUB PIATRĂ",460,"SĂLAŞU DE SUS",91116,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:19:34",164,159,0,4,1,101,96,0,4,1,100,1,185,84,36,3,48,8,5
22,HUNEDOARA,"ŞCOALA GENERALĂ PAROŞ",461,"SĂLAŞU DE SUS",91116,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:42:00",264,246,0,8,10,205,187,0,8,10,200,5,267,62,37,8,117,31,7
22,HUNEDOARA,"ŞCOALA GENERALĂ RÂU ALB",462,"SĂLAŞU DE SUS",91116,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:45:55",164,157,0,6,1,105,98,0,6,1,101,4,174,69,8,6,59,15,13
22,HUNEDOARA,"ŞCOALA GENERALĂ SĂLAŞU DE JOS",464,"SĂLAŞU DE SUS",91116,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:26:28",183,180,0,2,1,127,124,0,2,1,126,1,196,69,4,19,52,20,31
