precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PMP - FORȚA DREPTEI-voturi","TOTU DANIEL-SEPTIMIU-IULIAN-voturi"
28,MUREŞ,"CĂMINUL CULTURAL GHEJA-LUDUȘ",163,"ORAŞ LUDUŞ",114710,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:58:09",1274,1260,4,8,2,700,690,0,8,2,676,24,1390,690,208,88,7,318,26,18,11
28,MUREŞ,"CĂMINUL CULTURAL ROȘIORI-LUDUȘ",164,"ORAŞ LUDUŞ",114710,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:53:54",1056,1044,2,10,0,564,554,0,10,0,555,9,1148,584,141,32,283,74,12,11,2
28,MUREŞ,"GRĂDINIŢA ”CĂSUŢA FERMECATĂ” - LUDUȘ",169,"ORAŞ LUDUŞ",114710,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:33:19",1264,1252,2,7,3,637,625,2,7,3,619,18,1400,763,145,59,100,252,19,29,15
28,MUREŞ,"GRĂDINIȚA CU PROGRAM NORMAL NR. 02 - LUDUȘ",170,"ORAŞ LUDUŞ",114710,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:31:18",1396,1381,4,8,3,756,745,0,8,3,730,26,1550,794,203,74,84,293,23,34,19
28,MUREŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 01 - LUDUȘ",171,"ORAŞ LUDUŞ",114710,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:06:24",1116,1108,1,7,0,558,551,0,7,0,527,31,1220,662,183,66,60,172,5,32,9
28,MUREŞ,"LICEUL TEHNOLOGIC NR. 1 - LUDUȘ",168,"ORAŞ LUDUŞ",114710,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:26:30",1259,1248,0,8,3,641,630,0,8,3,624,17,1390,749,170,51,88,250,18,23,24
28,MUREŞ,"SALA DE SPORT LUDUŞ",165,"ORAŞ LUDUŞ",114710,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:26:14",1530,1516,4,8,2,805,794,1,8,2,801,4,1700,895,277,66,114,289,20,21,14
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”IOAN VLĂDUŢIU” - LUDUȘ",166,"ORAŞ LUDUŞ",114710,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:08:33",1299,1286,5,7,1,740,732,0,7,1,724,16,1440,700,210,53,109,267,17,44,24
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”IOAN VLĂDUŢIU” - LUDUȘ",167,"ORAŞ LUDUŞ",114710,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:09:05",1616,1607,1,4,4,874,866,0,4,4,852,22,1800,926,232,57,143,318,29,38,35
28,MUREŞ,"ŞCOALA GIMNAZIALĂ NR.1 - LUDUȘ",173,"ORAŞ LUDUŞ",114710,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:49:10",1090,1082,1,7,0,613,606,0,7,0,576,37,1153,540,160,59,136,168,10,29,14
28,MUREŞ,"ŞCOALA GIMNAZIALĂ NR.1 - LUDUȘ",172,"ORAŞ LUDUŞ",114710,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:09:34",1102,1085,2,13,2,540,524,1,13,2,520,20,1200,660,163,29,95,188,12,21,12
