precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DOLOGA IONUŢ-GABRIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","BIZĂU RADU-IOAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GRAD TOADER-PARTIDUL SOCIAL DEMOCRAT-voturi","ŢULEAN VASILE-PARTIDUL MIȘCAREA POPULARĂ-voturi","BURNAR ELENA-PARTIDUL S.O.S. ROMÂNIA-voturi"
26,MARAMUREŞ,PRIMĂRIA,404,SĂCEL,108874,1,PART,PRCNCT,P,P_SV,"2024-06-10 15:11:00",1396,1323,1,24,48,928,855,1,24,48,882,31,1499,560,338,141,287,94,22
26,MARAMUREŞ,"ŞCOALA VALEA CARELOR",405,SĂCEL,108874,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:26:18",903,816,0,55,32,903,816,0,55,32,855,16,1442,571,342,178,254,54,27
