precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ENE GEORGE-PARTIDUL NAȚIONAL LIBERAL-voturi","COVRIGEA GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","PANAIT ROBERT-MIHAI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DIACONU VASILE-GRUPUL DE ACŢIUNE LOCALĂ BERCENI-voturi","DUMITRESCU IONEL-LUCIAN-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
25,ILFOV,"GRADINITA CU PROGRAM PRELUNGIT NR.3",143,BERCENI,101145,1,PART,PRCNCT,P,P_SV,"2024-06-10 17:17:58",1982,1857,4,109,12,1347,1226,0,109,12,1335,12,1889,542,609,449,15,249,13
25,ILFOV,"SCOALA GIMNAZIALA NR. 1",147,BERCENI,101145,1,PROV,PRCNCT,P,P_SV,"2024-06-10 16:32:33",2044,1889,0,120,35,1499,1344,0,120,35,1481,18,2083,584,831,387,28,223,12
25,ILFOV,"ŞCOALA GIMNAZIALA NR. 1",146,BERCENI,101145,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:50:42",2000,1805,6,169,20,1364,1175,0,169,20,1348,16,2000,636,716,338,15,260,19
25,ILFOV,"SCOALA PRIMARA NR. 2",144,BERCENI,101145,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:52:41",1874,1711,0,140,23,1197,1034,0,140,23,1186,11,1900,701,580,208,29,346,23
25,ILFOV,"SCOALA PRIMARA NR. 2",145,BERCENI,101145,1,PROV,PRCNCT,P,P_SV,"2024-06-10 13:05:21",1900,1714,2,150,34,1506,1322,0,150,34,1484,22,2000,494,704,563,22,190,5
