precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
3,ARGEŞ,"CĂMINUL CULTURAL FÎLFANI",478,STOLNICI,18938,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:10:02",971,957,0,14,0,534,520,0,14,0,519,15,1092,558,169,228,74,30,16,2
3,ARGEŞ,"GRĂDINIȚA CU PROGRAM NORMAL STOLNICI",477,STOLNICI,18938,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:18:13",1412,1400,1,11,0,894,883,0,11,0,873,21,1500,606,208,419,52,34,137,23
