precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL PARCHEȘ",186,SOMOVA,161302,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:44:01",631,627,2,2,0,314,311,1,2,0,297,17,694,380,152,20,101,24
38,TULCEA,"ŞCOALA GIMNAZIALĂ MINERI",185,SOMOVA,161302,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:59:12",1637,1634,1,2,0,816,813,1,2,0,794,22,1805,989,368,94,203,129
38,TULCEA,"ȘCOALA GIMNAZIALĂ ”TRAIAN COȘOVEI’’ SOMOVA",184,SOMOVA,161302,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:51:27",2045,2024,9,10,2,1076,1061,3,10,2,1050,26,2235,1159,612,81,196,161
