precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FLOREAN OVIDIU-IOSIF-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MOLDOVAN EMIL-RADU-PARTIDUL SOCIAL DEMOCRAT-voturi","SIGHIARTĂU ROBERT-IONATAN-PARTIDUL NAȚIONAL LIBERAL-voturi","SAS LÓRÁNT-ZOLTAN-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","SIMIONCA IONUŢ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","TALOŞ MIRCEA-PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi"
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC FELDRU",135,FELDRU,33248,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:35:57",1360,1350,0,4,6,657,647,0,4,6,631,26,1500,843,13,351,245,5,16,1
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC ”GRIGORE MOISIL”",17,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:25:51",1593,1582,0,11,0,739,728,0,11,0,729,10,1750,1011,35,379,244,28,34,9
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC ”GRIGORE MOISIL”",16,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:57:20",1712,1697,5,10,0,821,811,0,10,0,805,16,1891,1070,45,401,272,19,60,8
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC GRIGORE MOISIL",18,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:26:43",1578,1566,3,9,0,665,656,0,9,0,657,8,1700,1035,37,301,264,6,40,9
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC GRIGORE MOISIL",19,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:05:10",1812,1796,6,10,0,850,840,0,10,0,824,6,1993,1143,57,378,316,19,44,10
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC MAIERU",171,MAIERU,33621,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:00:30",1271,1260,2,1,8,816,807,0,1,8,780,28,1400,584,91,396,273,6,7,7
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC MAIERU",172,MAIERU,33621,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:01:07",949,946,2,0,1,564,563,0,0,1,552,12,1050,486,65,299,177,0,7,4
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC MAIERU",170,MAIERU,33621,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:03:34",1006,990,1,0,15,673,658,0,0,15,661,12,1100,427,60,420,169,0,11,1
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC ŞCOALA GENERALĂ",154,LECHINŢA,33435,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:40:45",1205,1182,1,8,14,644,622,0,8,14,629,15,1300,656,47,428,139,2,8,5
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC SILVIC ”TRANSILVANIA” NĂSĂUD",73,"ORAŞ NĂSĂUD",32544,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:12:59",1285,1277,0,5,3,569,561,0,5,3,560,9,1400,831,24,229,293,3,11,0
