precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BARBACARIU IOAN-LAURENŢIU-PARTIDUL SOCIAL DEMOCRAT-voturi","MIHALACHE EMANUEL-ROMICĂ-PARTIDUL NAȚIONAL LIBERAL-voturi","FOCA GELU-TUDOR-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ŢICALO MARICEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
7,BOTOŞANI,"SCOALA CL I-IV MIHAILENI",311,MIHĂILENI,38161,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:03:41",1241,1200,3,11,27,621,582,1,11,27,585,36,1300,679,293,114,70,108
7,BOTOŞANI,"ŞCOALAGENERALĂ PARAU NEGRU",312,MIHĂILENI,38161,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:53:17",414,398,0,7,9,206,190,0,7,9,201,5,500,294,72,67,32,30
7,BOTOŞANI,"ŞCOALA GENERALĂ ROGOJESTI",313,MIHĂILENI,38161,3,PART,PRCNCT,P,P_SV,"2024-06-10 08:32:53",427,408,0,3,16,211,192,0,3,16,208,3,462,251,111,32,19,46
