precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
40,VÂLCEA,"ŞCOALA CU CLASELE I-IV BĂRBĂRIGENI",351,ROEŞTI,172581,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:38:54",164,144,0,14,6,107,87,0,14,6,99,8,170,63,25,14,35,20,5
40,VÂLCEA,"ŞCOALA CU CLASELE I-IV ROEŞTI",350,ROEŞTI,172581,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:44:59",617,584,0,10,23,394,361,0,10,23,369,25,680,286,49,51,177,66,26
40,VÂLCEA,"ŞCOALA CU CLASELE I-VIII CIOCÎLTEI",352,ROEŞTI,172581,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:40:04",494,470,0,8,16,340,316,0,8,16,316,24,540,200,61,59,161,28,7
40,VÂLCEA,"ŞCOALA CU CLASELE I-VIII CUENI",353,ROEŞTI,172581,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:21:33",515,485,0,12,18,318,288,0,12,18,296,22,550,232,61,46,140,34,15
