precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LESCANU AUREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","URICARU VALERIU-PARTIDUL SOCIAL DEMOCRAT-voturi","CIUBOTARU NOROCEL-CĂLIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
4,BACĂU,"CĂMINUL CULTURAL CIUMAŞI",401,ITEŞTI,26379,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:49:14",146,137,0,5,4,92,83,0,5,4,88,4,213,121,38,7,43
4,BACĂU,"CĂMINUL CULTURAL ITEŞTI",400,ITEŞTI,26379,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:29:47",746,713,0,19,14,458,425,0,19,14,436,21,672,215,117,25,294
4,BACĂU,"ŞCOALA DUMBRAVA",402,ITEŞTI,26379,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:50:44",365,356,3,5,1,221,214,1,5,1,214,7,428,207,72,71,71
