precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL SOCIALIST ROMÂN-voturi"
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ”BARTOLOMEU VALERIU ANANIA”GLĂVILE",244,GLĂVILE,170168,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:28:38",819,763,3,29,24,468,416,0,29,23,440,28,850,382,250,66,34,19,71
40,VÂLCEA,"ŞCOALA PRIMARĂ ANINOASA",245,GLĂVILE,170168,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:28:00",122,96,0,21,5,109,83,0,21,5,103,6,120,11,69,20,12,1,1
40,VÂLCEA,"ŞCOALA PRIMARĂ OLTEANCA",246,GLĂVILE,170168,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:41:02",571,494,0,56,21,401,324,0,56,21,389,12,570,169,317,51,6,12,3
