precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CHELARU DUMITRU-PARTIDUL SOCIAL DEMOCRAT-voturi","IANCU VIORICA-PARTIDUL NAȚIONAL LIBERAL-voturi","NUCU MIHAI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DEACU MARIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
14,CONSTANŢA,"CĂMINUL CULTURAL CĂSCIOARELE",388,CERCHEZU,61167,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:57:03",227,221,0,5,1,147,141,0,5,1,144,3,243,96,47,18,3,76
14,CONSTANŢA,"CĂMINUL CULTURAL CERCHEZU",387,CERCHEZU,61167,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:43:46",409,388,0,13,8,262,241,0,13,8,256,6,436,174,140,47,9,60
14,CONSTANŢA,"CĂMINUL CULTURAL VIROAGA",390,CERCHEZU,61167,3,PART,PRCNCT,P,P_SV,"2024-06-10 06:09:51",363,338,0,16,9,240,215,0,16,9,231,9,366,126,108,37,3,83
14,CONSTANŢA,"CASA AGRONOMULUI MĂGURA",389,CERCHEZU,61167,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:26:27",78,63,0,12,3,56,41,0,12,3,55,1,73,17,34,10,1,10
