precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DĂNCESCU MARIUS-DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","OLĂRESCU DĂNUŢ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BĂICONI EMANUEL-EUGEN-PARTIDUL NAȚIONAL LIBERAL-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL BOIȚA",434,RĂCHITOVA,90725,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:28:25",366,330,0,29,7,281,245,0,29,7,280,1,360,79,166,12,102
22,HUNEDOARA,"CAMINUL CULTURAL RĂCHITOVA",433,RĂCHITOVA,90725,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:22:53",566,492,1,44,29,460,386,1,44,29,451,9,544,84,400,19,32
22,HUNEDOARA,"SCOALA PRIMARA VĂLIOARA",435,RĂCHITOVA,90725,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:44:06",203,192,0,7,4,147,136,0,7,4,147,0,213,66,61,55,31
