precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","FORȚA DREPTEI-voturi"
3,ARGEŞ,"CĂMIN CULTURAL DOBREŞTI",337,DOBREŞTI,16427,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:13:58",742,699,0,29,14,564,521,0,29,14,521,23,793,229,34,51,168,74,111,15,47,21
3,ARGEŞ,"ŞCOALA GEN. I-IV FUREŞTI",338,DOBREŞTI,16427,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:22:41",721,699,1,9,12,525,505,0,8,12,496,28,751,227,9,61,217,68,77,11,9,44
