precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","SÎMBOAN ALEXANDRU-TEODOR-voturi"
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL MIREŞ",119,CHIUZA,33122,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:49:27",117,111,0,6,0,85,79,0,6,0,84,1,120,35,16,32,27,4,1,4
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL SĂSARM",121,CHIUZA,33122,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:51:29",569,546,1,13,9,375,353,0,13,9,338,15,575,217,38,140,99,34,14,13
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”LIVIU REBREANU” CHIUZA",118,CHIUZA,33122,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:58:05",732,705,1,20,6,517,491,0,20,6,505,12,800,283,47,131,182,56,52,37
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ PIATRA",120,CHIUZA,33122,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:03:44",414,394,1,11,8,259,240,0,11,8,253,6,398,139,88,32,119,1,3,10
