precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ANTONESCU VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","JUGĂNARU EMIL-PARTIDUL SOCIAL DEMOCRAT-voturi"
23,IALOMIŢA,"CONTAINER(SITUAT IN CURTEA GRĂDINIȚEI CU PROGRAM NORMAL MARSILIENI)",92,ALBEŞTI,92783,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:14:44",409,387,0,4,18,281,259,0,4,18,263,18,450,169,36,227
23,IALOMIŢA,"SCOALA GIMNAZIALA ”CONSTANTIN STEFAN”",91,ALBEŞTI,92783,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:21:36",503,479,0,0,24,300,276,0,0,24,284,16,550,250,27,257
