precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MORAR MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","LOJIGAN DORIN-NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","POP PETRE-PARTIDUL SOCIAL DEMOCRAT-voturi","BAKOS IOAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","ZAMBLĂU EUGEN-FORȚA DREPTEI-voturi","LASLO LUCIAN-DRAGOŞ-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
13,CLUJ,"COLEGIUL TEHNIC ”VICTOR UNGUREANU”",186,"MUNICIPIUL CÂMPIA TURZII",55357,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:25:26",1105,1100,0,5,0,404,399,0,5,0,370,34,1213,809,86,173,61,24,12,14
13,CLUJ,"COLEGIUL TEHNIC ”VICTOR UNGUREANU”",187,"MUNICIPIUL CÂMPIA TURZII",55357,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:45:16",1281,1271,0,7,3,476,466,0,7,3,451,25,1394,918,136,201,72,18,10,14
13,CLUJ,"COLEGIUL TEHNIC ”VICTOR UNGUREANU”",185,"MUNICIPIUL CÂMPIA TURZII",55357,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:35:51",1243,1234,3,6,0,419,413,0,6,0,396,23,1366,947,154,144,49,14,15,20
13,CLUJ,"LICEUL TEORETIC ”PAVEL DAN”",191,"MUNICIPIUL CÂMPIA TURZII",55357,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:52:40",1241,1232,0,5,4,469,460,0,5,4,458,11,1378,909,98,218,65,41,21,15
13,CLUJ,"LICEUL TEORETIC ”PAVEL DAN”",189,"MUNICIPIUL CÂMPIA TURZII",55357,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:30:21",1054,1041,4,8,1,442,433,0,8,1,429,13,1164,722,118,218,50,22,13,8
13,CLUJ,"LICEUL TEORETIC ”PAVEL DAN”",190,"MUNICIPIUL CÂMPIA TURZII",55357,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:22:07",1023,1012,1,9,1,428,418,0,9,1,422,6,1118,688,132,199,31,33,14,13
13,CLUJ,"LICEUL TEORETIC ”PAVEL DAN”",193,"MUNICIPIUL CÂMPIA TURZII",55357,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:46:25",1157,1151,1,5,0,490,485,0,5,0,480,10,1265,775,113,204,72,59,19,13
13,CLUJ,"LICEUL TEORETIC ”PAVEL DAN”",188,"MUNICIPIUL CÂMPIA TURZII",55357,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:43:40",842,837,0,4,1,358,353,0,4,1,345,13,923,565,98,155,44,30,10,8
13,CLUJ,"LICEUL TEORETIC ”PAVEL DAN”",192,"MUNICIPIUL CÂMPIA TURZII",55357,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:11:13",1033,1026,0,7,0,394,387,0,7,0,387,7,1131,737,104,150,72,33,19,9
13,CLUJ,"SC GIMNAZIALA MIHAI VITEAZU-SALA DE SPORT",197,"MUNICIPIUL CÂMPIA TURZII",55357,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:02:11",1198,1194,0,2,2,530,526,0,2,2,519,11,1319,789,103,237,89,36,27,27
13,CLUJ,"SC. GIMNAZIALA MIHAI VITEAZU-SALA DE SPORT",199,"MUNICIPIUL CÂMPIA TURZII",55357,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:36:56",1409,1396,1,8,4,591,579,0,8,4,571,20,1536,945,143,256,68,61,24,19
