precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","FORȚA DREPTEI-voturi"
40,VÂLCEA,"CLĂDIRE GRĂDINIȚĂ PÎRÎIENII DE JOS",275,LIVEZI,170872,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:49:28",920,872,0,25,23,590,542,0,25,23,578,12,980,390,223,58,216,28,2,51
40,VÂLCEA,"CLĂDIRE ȘCOALĂ I-IV TINA",274,LIVEZI,170872,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:28:39",535,491,0,23,21,428,384,0,23,21,376,14,590,198,125,44,139,31,24,13
40,VÂLCEA,"ŞCOALA CU CLASELE I-IV PLEŞOIU",276,LIVEZI,170872,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:00:56",278,239,0,23,16,238,199,0,23,16,228,10,300,62,42,52,111,15,6,2
