precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
13,CLUJ,"CAMIN CULTURAL CAMARASU",376,CĂMĂRAŞU,56522,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:42:19",1193,1186,1,4,2,715,709,0,4,2,586,129,1316,601,126,286,71,9,65,29
13,CLUJ,"CAMIN CULTURAL NAOIU",377,CĂMĂRAŞU,56522,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:22:17",320,317,0,3,0,180,177,0,3,0,159,21,350,170,63,43,1,38,12,2
13,CLUJ,"CAMIN CULTURAL SIMBOLENI",378,CĂMĂRAŞU,56522,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:06:36",438,426,0,7,5,265,253,0,7,5,235,30,487,222,64,149,6,3,13,0
