precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL POLUL SUVERANIST-voturi","SAVA COSTEL-voturi"
24,IAŞI,"CĂMINUL CULTURAL HOLBOCA",495,HOLBOCA,95159,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:39:27",1681,1681,0,0,0,854,854,0,0,0,822,32,1800,946,48,123,457,112,43,27,12
24,IAŞI,"CĂMINUL CULTURAL HOLBOCA",496,HOLBOCA,95159,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:09:46",1734,1720,2,10,2,899,887,0,10,2,881,18,1900,1001,48,118,521,90,46,39,19
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL CRISTEȘTI",497,HOLBOCA,95159,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:50:44",645,636,0,9,0,263,254,0,9,0,255,8,700,437,20,42,137,38,17,0,1
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL DANCU",498,HOLBOCA,95159,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:18:58",1304,1302,0,2,0,574,572,0,2,0,556,18,1400,826,38,151,289,55,10,0,13
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL DANCU",499,HOLBOCA,95159,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:32:20",1405,1398,2,5,0,585,580,0,5,0,571,14,1500,915,49,126,312,57,15,1,11
24,IAŞI,"SCAOALA VALEA LUNGA",506,HOLBOCA,95159,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:17:10",297,288,1,8,0,143,135,0,8,0,139,4,365,222,6,20,79,28,3,1,2
24,IAŞI,"SCOALA CU CLASELE I-IV",504,HOLBOCA,95159,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:36:48",352,344,1,7,0,174,167,0,7,0,171,3,400,226,2,22,98,42,5,0,2
24,IAŞI,"ȘCOALA GIMNAZIALĂ ” STEFAN CEL MARE” DANCU",500,HOLBOCA,95159,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:08:44",1234,1232,0,2,0,543,541,0,2,0,539,4,1400,857,54,131,283,51,9,3,8
24,IAŞI,"ȘCOALA GIMNAZIALĂ ” ȘTEFAN CEL MARE” DANCU",501,HOLBOCA,95159,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:21:29",1484,1481,0,3,0,643,640,0,3,0,618,25,1600,957,47,143,317,62,24,4,21
24,IAŞI,"ȘCOALA GIMNAZIALĂ ”ȘTEFAN CEL MARE” DANCU",502,HOLBOCA,95159,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:10:11",1442,1436,0,6,0,598,592,0,6,0,581,17,1600,1002,47,142,279,94,6,4,9
24,IAŞI,"ȘCOALA PRIMARĂ RUSENII VECHI",505,HOLBOCA,95159,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:00:22",547,542,0,5,0,210,205,0,5,0,195,13,600,392,13,36,107,31,3,2,3
24,IAŞI,"SPAȚIU COMERCIAL PROPRIETATE GOLĂESCU MARIA",503,HOLBOCA,95159,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:51:23",614,607,1,6,0,273,267,0,6,0,263,10,700,427,9,59,162,28,0,1,4
