precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VINTILĂ COSTINEL-NICUŞOR-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BUTARU NICOLAE-GEORGE-PARTIDUL NAȚIONAL LIBERAL-voturi","DUMITRELE MARINELA-PARTIDUL SOCIAL DEMOCRAT-voturi","NEAGOE ELENA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
27,MEHEDINŢI,"CĂMINUL CULTURAL IZIMŞA",221,"OBÂRŞIA DE CÂMP",112744,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:18:03",836,725,1,50,60,616,506,0,50,60,595,21,856,240,52,204,312,27
27,MEHEDINŢI,"CĂMINUL CULTURAL OBÂRŞIA DE CÂMP",220,"OBÂRŞIA DE CÂMP",112744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:22:49",722,587,1,77,57,522,387,1,77,57,513,9,640,116,8,76,357,72
