precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
4,BACĂU,"GRADINITA CU PROGRAM NORMAL DRĂGEŞTI",324,DĂMIENEŞTI,22111,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:46:56",252,245,0,4,3,115,108,0,4,3,106,9,300,185,81,9,16
4,BACĂU,"ŞCOALA GENERALĂ CU CLASELE I-IV DĂMIENEŞTI",322,DĂMIENEŞTI,22111,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:06:06",440,423,0,3,14,291,274,0,3,14,270,21,500,209,210,42,18
4,BACĂU,"ŞCOALA GENERALĂ CU CLASELE I-VIII CĂLUGĂRENI",323,DĂMIENEŞTI,22111,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:39:19",780,770,0,4,6,423,413,0,4,6,401,22,800,367,241,122,38
