precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL BRETEA STREIULUI",305,"BRETEA ROMÂNĂ",88644,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:40:11",214,209,0,5,0,128,123,0,5,0,126,2,229,101,4,13,109
22,HUNEDOARA,"CĂMINUL CULTURAL COVRAGIU",306,"BRETEA ROMÂNĂ",88644,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:22:30",128,124,0,3,1,79,75,0,3,1,76,3,148,69,10,13,53
22,HUNEDOARA,"CĂMINUL CULTURAL OCOLIȘU MARE",309,"BRETEA ROMÂNĂ",88644,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:51:45",182,171,0,10,1,133,122,0,10,1,130,3,192,59,13,48,69
22,HUNEDOARA,"CĂMINUL CULTURAL RUȘI",311,"BRETEA ROMÂNĂ",88644,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:50:52",134,128,0,6,0,134,128,0,6,0,126,8,214,80,30,20,76
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ BRETEA ROMÂNĂ",303,"BRETEA ROMÂNĂ",88644,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:16:41",216,206,1,9,0,134,125,0,9,0,131,3,226,92,9,48,74
22,HUNEDOARA,"ȘCOALA PRIMARĂ BĂȚĂLAR",304,"BRETEA ROMÂNĂ",88644,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:36:58",206,194,0,7,5,145,133,0,7,5,142,3,223,78,11,26,105
22,HUNEDOARA,"ȘCOALA PRIMARĂ GÂNȚAGA",307,"BRETEA ROMÂNĂ",88644,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:59:35",228,223,0,5,0,156,151,0,5,0,153,3,243,87,40,10,103
22,HUNEDOARA,"ȘCOALA PRIMARĂ MĂCEU",308,"BRETEA ROMÂNĂ",88644,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:01:23",267,263,0,4,0,169,165,0,4,0,159,10,283,114,17,20,122
22,HUNEDOARA,"ȘCOALA PRIMARĂ PLOPI",310,"BRETEA ROMÂNĂ",88644,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:08:43",218,213,0,1,4,151,146,0,1,4,148,3,237,86,15,30,103
22,HUNEDOARA,"ȘCOALA PRIMARĂ VÂLCELE",312,"BRETEA ROMÂNĂ",88644,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:18:31",220,202,0,8,10,177,159,0,8,10,174,3,234,57,20,5,149
22,HUNEDOARA,"ȘCOALA PRIMARĂ VÂLCELELE BUNE",313,"BRETEA ROMÂNĂ",88644,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:59:26",313,296,3,6,8,239,223,2,6,8,231,8,342,103,21,55,155
