precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TOMA DORIN-PETRU-PARTIDUL SOCIAL DEMOCRAT-voturi","SABĂU IONUŢ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CHIRLA DAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
5,BIHOR,"CĂMINUL CULTURAL",235,"AVRAM IANCU",27285,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:18:14",180,172,0,7,1,76,68,0,7,1,74,2,189,113,25,6,43
5,BIHOR,"SALA SPORT ȘCOALA",234,"AVRAM IANCU",27285,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:25:41",1525,1494,1,20,10,1044,1014,0,20,10,1025,19,1644,600,515,110,400
5,BIHOR,"ȘCOALA NOUĂ TĂMAȘDA",236,"AVRAM IANCU",27285,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:24:54",951,939,1,10,1,655,644,0,10,1,635,19,1031,377,264,15,356
