precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GAVRILUŢI ŞTEFAN-PARTIDUL NAȚIONAL LIBERAL-voturi","VANCEA ALIN-IOAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NISTOR IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","TĂUT IOAN-voturi"
26,MARAMUREŞ,ŞCOALA,335,LEORDINA,108240,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:47:04",552,529,3,2,18,286,266,0,2,18,281,4,591,306,15,53,138,75
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ NR.1, CORP B",334,LEORDINA,108240,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:27:44",1441,1397,0,9,35,871,827,0,9,35,825,46,1604,729,95,75,360,295
