precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TURCU ANTONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","DIACONU LAURENŢIU-PARTIDUL NAȚIONAL LIBERAL-voturi","AIOANEI DĂNUŢ-ŞTEFAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PETREA VASILE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
41,VRANCEA,CREȘĂ,172,GAROAFA,176212,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:07:07",580,574,0,6,0,296,290,0,6,0,284,12,635,339,27,219,30,8
41,VRANCEA,"ŞCOALA CU CLASELE I-IV DOAGA",174,GAROAFA,176212,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:47:30",370,360,0,10,0,200,190,0,10,0,195,5,403,203,47,129,13,6
41,VRANCEA,"ȘCOALA GIMNAZIALĂ „EMIL ATANASIU” GAROAFA",171,GAROAFA,176212,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:06:31",1619,1607,2,9,1,848,837,1,9,1,806,42,1789,941,108,544,112,42
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”PETRACHE BLÎNDU”",173,GAROAFA,176212,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:09:34",1333,1319,0,14,0,728,714,0,14,0,682,46,1457,729,138,439,84,21
