precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
1,ALBA,"CĂMINUL CULTURAL INURI",437,"VINŢU DE JOS",8826,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:42:19",153,141,1,10,1,77,65,1,10,1,74,3,148,71,35,13,5,18,0,3
1,ALBA,"CĂMINUL CULTURAL MERETEU",438,"VINŢU DE JOS",8826,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:26:40",188,180,1,7,0,125,118,0,7,0,124,1,189,64,42,27,4,49,1,1
1,ALBA,"CĂMINUL CULTURAL VINŢU DE JOS",434,"VINŢU DE JOS",8826,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:22:21",1089,1068,2,9,10,657,638,0,9,10,639,18,1235,578,180,147,34,240,14,24
1,ALBA,"CĂMINUL CULTURAL VURPĂR",440,"VINŢU DE JOS",8826,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:28:00",872,861,2,8,1,537,528,0,8,1,524,13,904,367,156,237,22,92,9,8
1,ALBA,"SALA PAROHIALĂ SIBIŞENI",436,"VINŢU DE JOS",8826,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:33:38",599,590,0,8,1,312,303,0,8,1,300,12,619,307,115,71,10,91,9,4
1,ALBA,"ŞCOALA GIMNAZIALĂ ”IULIU MANIU” VINŢU DE JOS",435,"VINŢU DE JOS",8826,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:21:59",1355,1343,3,9,0,757,748,0,9,0,719,38,1523,766,200,171,74,245,9,20
1,ALBA,"ŞCOALA PRIMARĂ VALEA VINŢULUI",439,"VINŢU DE JOS",8826,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:01:15",311,295,1,12,3,172,157,0,12,3,162,10,310,138,16,73,8,63,1,1
