precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DULF VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","ŞANDOR ŞTEFAN-NIŢU-PARTIDUL SOCIAL DEMOCRAT-voturi","BRÎNDUŞE ANDREI-MIHAI-PARTIDUL PATRIOȚILOR-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",231,"ASUAJU DE SUS",107083,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:29:06",277,235,0,35,7,195,153,0,35,7,191,4,289,94,109,78,4
26,MARAMUREŞ,PRIMĂRIA,230,"ASUAJU DE SUS",107083,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:41:24",846,694,0,117,35,684,532,0,117,35,670,14,800,116,342,313,15
