precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞIŞCU GEORGE-PARTIDUL NAȚIONAL LIBERAL-voturi","TEODORESCU HORIA-PARTIDUL SOCIAL DEMOCRAT-voturi","ZAHARCU MIRCEA-SORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IVANOV MARCEL-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","TERENTE EUGEN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","GOSAV IOAN-ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","NANE AUREL-PARTIDUL S.O.S. ROMÂNIA-voturi"
38,TULCEA,"BIBLIOTECA JUDEŢEANĂ PANAIT CERNA",37,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:10:33",1291,1274,12,5,0,533,528,0,5,0,516,17,1404,871,132,172,105,24,49,6,28
38,TULCEA,"CAMIN CULTURAL",180,"SFÂNTU GHEORGHE",161231,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:47:21",689,664,0,8,17,544,519,0,8,17,527,17,738,194,223,190,63,27,9,1,14
38,TULCEA,"CĂMIN CULTURAL",143,LUNCAVIŢA,160680,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:39:54",1284,1268,1,12,3,721,705,1,12,3,671,49,1351,631,175,382,64,1,15,0,34
38,TULCEA,"CĂMIN CULTURAL",106,"CHILIA VECHE",160172,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:31:07",771,766,0,1,4,419,414,0,1,4,413,6,844,425,86,117,131,4,56,4,15
38,TULCEA,"CĂMIN CULTURAL",142,LUNCAVIŢA,160680,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:58:23",1623,1607,0,12,4,969,953,0,12,4,899,70,1774,805,232,504,93,7,25,9,29
38,TULCEA,"CĂMIN CULTURAL",113,DĂENI,160305,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:36:35",1552,1497,0,17,38,912,857,0,17,38,879,33,1696,784,614,112,119,4,5,7,18
38,TULCEA,"CĂMIN CULTURAL",115,DOROBANŢU,160323,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:00:12",341,325,0,9,7,162,146,0,9,7,153,9,363,201,9,69,65,1,9,0,0
38,TULCEA,"CĂMIN CULTURAL",105,"CHILIA VECHE",160172,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:58:46",730,727,1,0,2,397,394,1,0,2,389,7,805,408,86,115,132,4,45,2,5
38,TULCEA,"CAMIN CULTURAL FRECATEI",117,FRECĂŢEI,160387,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:17:10",988,962,0,13,13,563,537,0,13,13,541,22,1071,58,224,198,51,6,32,5,25
38,TULCEA,"CĂMIN CULTURAL IAZURILE",202,"VALEA NUCARILOR",161482,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:20:48",641,620,0,11,10,343,322,0,11,10,328,15,685,342,111,129,54,7,11,2,14
38,TULCEA,"CĂMIN CULTURAL MURIGHIOL",156,MURIGHIOL,160911,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:22:51",1205,1203,1,1,0,690,689,0,1,0,657,33,1330,640,204,227,102,24,48,3,49
38,TULCEA,"CAMIN CULTURAL POSTA",119,FRECĂŢEI,160387,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:57:56",515,499,0,7,9,293,277,0,7,9,284,9,557,264,82,133,22,4,5,6,32
38,TULCEA,"CĂMIN CULTURAL SARINASUF",161,MURIGHIOL,160911,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:10:15",329,325,0,4,0,176,172,0,4,0,172,4,363,187,55,71,29,1,7,1,8
38,TULCEA,"CĂMIN CULTURAL TELIȚA",120,FRECĂŢEI,160387,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:31:18",452,432,4,9,7,254,237,1,9,7,242,12,492,238,76,94,35,9,9,3,16
38,TULCEA,"CAMINUL CULTURAL",172,PARDINA,161133,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:43:01",493,447,1,37,8,358,313,0,37,8,339,19,488,130,88,140,67,2,30,9,3
38,TULCEA,"CĂMINUL CULTURAL",187,STEJARU,161348,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:14:18",423,326,0,68,29,423,326,0,68,29,423,0,528,105,330,63,7,0,3,14,6
38,TULCEA,"CĂMINUL CULTURAL",182,"SLAVA CERCHEZĂ",161259,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:07:14",907,867,0,20,20,466,427,0,20,19,416,50,981,515,95,113,162,10,18,6,12
38,TULCEA,"CĂMINUL CULTURAL",131,"I. C. BRĂTIANU",161525,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:42:16",937,908,0,25,4,602,573,0,25,4,577,25,1005,403,406,106,24,1,12,3,25
38,TULCEA,"CĂMINUL CULTURAL",98,CEATALCHIOI,160047,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:40:49",364,347,1,13,3,257,240,1,13,3,247,10,397,140,83,92,46,8,6,0,12
38,TULCEA,"CĂMINUL CULTURAL",137,JIJILA,160617,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:57:49",1009,1006,0,3,0,400,397,0,3,0,385,15,1120,720,94,121,112,7,21,4,26
