precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CHIREŢU MARIAN-CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","SAVU GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","BUCUR ION-LAURENŢIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DINIAŞI NICOLAE-GEORGEL-FORȚA DREPTEI-voturi"
3,ARGEŞ,"SALA DE SPORT(ȘCOALA GENERALĂ NR. 1)",494,ŢIŢEŞTI,19338,2,PART,PRCNCT,P,P_SV,"2024-06-10 16:13:23",1283,1271,1,5,6,790,779,0,5,6,759,31,1416,626,166,495,54,44
3,ARGEŞ,"ȘCOALA CU CLASELE I-IV ȚIȚEȘTI",495,ŢIŢEŞTI,19338,3,PART,PRCNCT,P,P_SV,"2024-06-10 06:48:24",1000,996,0,4,0,574,570,0,4,0,549,25,1100,526,61,459,23,6
3,ARGEŞ,"ȘCOALA CU CLASELE I-IV VALEA MĂNĂSTIRII",496,ŢIŢEŞTI,19338,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:10:00",808,805,0,3,0,380,380,0,0,0,365,15,900,520,26,331,7,1
3,ARGEŞ,"ȘCOALA CU CLASELE I-IV VALEA STÂNII",497,ŢIŢEŞTI,19338,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:52:55",845,839,0,4,2,536,530,0,4,2,521,15,900,364,97,341,18,65
