precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SZABÓ ELEK-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","TĂTAR GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","MÁRTON ZSUZSÁNNA-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","BĂRBOS SAMUEL-FORȚA DREPTEI-voturi"
32,"SATU MARE","PRIMARIA AGRIS",123,AGRIŞ,179873,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:38:13",898,882,0,6,10,580,564,0,6,10,562,18,992,412,262,45,241,14
32,"SATU MARE","ȘCOALA GENERALĂ AGRIȘ",124,AGRIŞ,179873,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:31:10",273,267,0,6,0,122,116,0,6,0,111,11,300,178,36,39,1,35
32,"SATU MARE","ŞCOALA PRIMARĂ CIUPERCENI",125,AGRIŞ,179873,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:33:49",510,494,0,15,1,288,272,0,15,1,280,8,525,220,96,125,46,13
