precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MANGU ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MILOTIN TITU-CRISTINEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MOTORGEANU IONUŢ-MĂDĂLIN-PARTIDUL NAȚIONAL LIBERAL-voturi","POENARU NICOLAE-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
20,GORJ,"ŞCOALA GIMNAZIALĂ BĂRBĂTEŞTI",146,BĂRBĂTEŞTI,78828,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:47:12",686,654,0,22,10,450,418,0,22,10,435,15,700,250,289,119,24,3
20,GORJ,"ŞCOALA PRIMARĂ PETREŞTI",147,BĂRBĂTEŞTI,78828,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:28:03",629,594,0,19,16,403,368,0,19,16,395,8,702,299,300,66,8,21
