precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TEODORESCU OCTAVIAN-ALEXANDRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BĂLAN OVIDIU-LAURENŢIU-PARTIDUL SOCIAL DEMOCRAT-voturi","BOTA ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ZVÎNCĂ MIHAI-CAIUS-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
22,HUNEDOARA,"CASA DE CULTURĂ",128,"MUNICIPIUL ORĂŞTIE",87638,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:54:45",1537,1517,9,11,0,724,713,0,11,0,696,28,1700,976,83,492,64,57
22,HUNEDOARA,"CENTRUL REZIDENȚIAL PENTRU VÂRSTNICI ORĂȘTIE",132,"MUNICIPIUL ORĂŞTIE",87638,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:14:16",1512,1498,1,13,0,578,565,0,13,0,569,9,1600,1013,65,423,33,48
22,HUNEDOARA,"GRĂDINIŢA „CĂSUȚA CU POVEȘTI”",130,"MUNICIPIUL ORĂŞTIE",87638,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:39:35",1358,1331,3,10,14,566,542,0,10,14,535,31,1450,884,70,391,35,39
22,HUNEDOARA,"LICEUL TEHNOLOGIC „NICOLAUS OLAHUS”",136,"MUNICIPIUL ORĂŞTIE",87638,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:01:54",1326,1309,6,10,1,550,539,0,10,1,523,27,1500,950,51,399,32,41
22,HUNEDOARA,"LICEUL TEORETIC „AUREL VLAICU”",137,"MUNICIPIUL ORĂŞTIE",87638,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:24:31",1413,1397,7,8,1,639,629,1,8,1,586,53,1536,897,70,396,94,26
22,HUNEDOARA,"OFICIUL DE GOSPODĂRIRE A APELOR",135,"MUNICIPIUL ORĂŞTIE",87638,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:15:20",1532,1521,2,9,0,677,668,0,9,0,649,28,1600,923,53,489,49,58
22,HUNEDOARA,"PRIMĂRIA MUNICIPIULUI ORĂŞTIE",138,"MUNICIPIUL ORĂŞTIE",87638,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:37:22",1377,1365,4,8,0,594,586,0,8,0,577,17,1500,906,63,424,36,54
22,HUNEDOARA,"SALA DE SPORT A ŞCOLII GIMNAZIALE „DOMINIC STANCA”",129,"MUNICIPIUL ORĂŞTIE",87638,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:17:40",1461,1443,7,11,0,589,578,0,11,0,573,16,1700,1111,64,409,62,38
22,HUNEDOARA,"ŞCOALA CU CLASELE I-IV GARĂ",134,"MUNICIPIUL ORĂŞTIE",87638,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:08:09",1388,1381,0,6,1,552,545,0,6,1,523,29,1500,948,44,426,29,24
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ „DOMINIC STANCA”",131,"MUNICIPIUL ORĂŞTIE",87638,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:38:27",1355,1344,1,10,0,495,485,0,10,0,489,6,1500,1005,64,341,48,36
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ „DR. A. VLAD”",133,"MUNICIPIUL ORĂŞTIE",87638,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:19:04",1555,1520,4,5,26,687,661,4,5,17,672,11,1700,945,67,484,60,61
22,HUNEDOARA,"SERVICIUL PUBLIC DE ASISTENŢĂ SOCIALĂ",139,"MUNICIPIUL ORĂŞTIE",87638,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:20:44",1579,1566,3,9,1,575,565,0,9,1,559,16,1750,1175,74,377,53,55
