precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CIMPOERU EMILIAN-voturi"
17,DOLJ,"CĂMINUL CULTURAL MELINEŞTI",405,MELINEŞTI,73102,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:50:01",950,896,0,35,19,618,564,0,35,19,610,8,957,339,277,264,35,34
17,DOLJ,"ŞCOALA GENERALĂ BODĂIEŞTII DE SUS",407,MELINEŞTI,73102,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:06:09",243,231,0,8,4,170,158,0,8,4,159,11,300,130,74,73,12,0
17,DOLJ,"ŞCOALA GENERALĂ NEGOIEŞTI",408,MELINEŞTI,73102,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:55:07",1150,1104,1,28,17,784,739,0,28,17,742,42,1200,416,235,340,59,108
17,DOLJ,"ŞCOALA GENERALĂ SPINENI",409,MELINEŞTI,73102,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:19:25",265,252,0,11,2,198,185,0,11,2,189,9,300,102,41,43,12,93
17,DOLJ,"SEDIUL FOSTEI ŞCOLI GENERALE BODAIESTI",406,MELINEŞTI,73102,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:44:55",552,525,1,15,11,361,334,1,15,11,334,27,600,239,127,175,26,6
