precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SÂRBILOR DIN ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
37,TIMIŞ,"CĂMIN CULTURAL CRAI NOU",437,GIULVĂZ,157317,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:58:23",350,342,0,8,0,157,149,0,8,0,152,5,399,242,62,26,6,26,29,3
37,TIMIŞ,"CĂMIN CULTURAL IVANDA",438,GIULVĂZ,157317,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:34:19",490,489,0,1,0,219,218,0,1,0,212,7,550,331,110,26,36,27,10,3
37,TIMIŞ,"CĂMIN CULTURAL RUDNA",439,GIULVĂZ,157317,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:54:49",590,584,1,3,2,254,248,1,3,2,240,14,600,346,114,36,14,13,51,12
37,TIMIŞ,"PRIMĂRIA COMUNEI GIULVĂZ",436,GIULVĂZ,157317,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:16:36",1075,1067,3,3,2,526,521,0,3,2,496,30,1200,673,252,63,15,116,16,34
