precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","FORUMUL CEHILOR DIN ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","SPOREA ILIE-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL PADINA MATEI",252,GÂRNIC,52909,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:57:32",764,703,1,38,22,519,458,1,38,22,502,16,777,258,158,78,12,3,174,35,42
11,CARAŞ-SEVERIN,"CASA CULTURALĂ PETR. GLASER",251,GÂRNIC,52909,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:01:37",416,383,14,15,4,164,137,9,14,4,156,8,428,264,11,5,28,65,35,2,10
