precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL PRO ROMÂNIA-voturi","MIHAI PARASCHIV-VASILICĂ-voturi"
39,VASLUI,"CASA DE CULTURĂ",163,"ORAŞ NEGREŞTI",161856,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:15:10",1409,1407,0,1,1,617,615,0,1,1,580,35,1600,985,45,143,283,7,67,5,30
39,VASLUI,"CASA DE CULTURĂ",162,"ORAŞ NEGREŞTI",161856,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:39:46",1498,1492,0,6,0,659,653,0,6,0,643,16,1600,941,26,182,297,5,88,8,37
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL NR.2 NEGREȘTI",165,"ORAŞ NEGREŞTI",161856,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:16:13",878,867,1,4,6,384,374,0,4,6,362,22,1000,616,34,95,179,5,37,1,11
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL SAT PARPANIȚA",169,"ORAŞ NEGREŞTI",161856,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:12:29",473,464,0,7,2,249,240,0,7,2,222,27,500,251,18,50,36,1,13,1,103
39,VASLUI,"ŞCOALA GIMNAZIALĂ SAT VALEA MARE",171,"ORAŞ NEGREŞTI",161856,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:38:10",329,322,0,5,2,329,322,0,5,2,319,10,700,371,23,62,199,1,14,1,19
39,VASLUI,"ŞCOALA PRIMARĂ SAT CĂZĂNEȘTI",166,"ORAŞ NEGREŞTI",161856,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:37:31",330,323,0,7,0,165,158,0,7,0,159,6,400,235,13,51,85,0,7,0,3
39,VASLUI,"ŞCOALA PRIMARĂ SAT CIOATELE",167,"ORAŞ NEGREŞTI",161856,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:36:24",295,289,0,5,1,155,149,0,5,1,148,5,300,147,14,27,78,4,14,0,11
39,VASLUI,"SCOALA PRIMARĂ SAT GLODENI",168,"ORAŞ NEGREŞTI",161856,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:29:25",226,216,0,8,2,109,99,0,8,2,100,9,300,191,7,37,23,0,19,0,14
39,VASLUI,"ȘCOALA PRIMARĂ SAT POIANA",170,"ORAŞ NEGREŞTI",161856,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:03:13",201,200,0,0,1,103,102,0,0,1,94,9,300,197,5,29,36,4,8,0,12
39,VASLUI,"SERVICIUL PUBLIC DE ASISTENȚĂ SOCIALĂ NEGREȘTI",164,"ORAŞ NEGREŞTI",161856,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:18:09",1968,1957,0,5,6,909,898,0,5,6,849,40,2000,1110,58,256,383,20,100,1,31
