precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RUSU IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","VÎRLAN LAURENŢIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VÎRLAN DANIEL-FLORIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","BĂLUŢ MARIUS-IONUŢ-PARTIDUL NAȚIONAL LIBERAL-voturi"
29,NEAMŢ,"FOSTA ȘCOALA PRIMARĂ (SALA DE FESTIVITĂȚI)",467,ŢIBUCANI,124803,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:32:22",310,301,0,9,0,154,145,0,9,0,143,11,400,246,79,10,4,50
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ DAVIDENI",466,ŢIBUCANI,124803,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:32:31",749,727,1,8,13,387,366,0,8,13,365,22,800,413,242,8,5,110
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ NR.1 ȚIBUCANI",464,ŢIBUCANI,124803,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:43:15",1277,1241,1,22,13,778,743,0,22,13,749,29,1400,622,568,17,15,149
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ NR.3 ȚIBUCANI",465,ŢIBUCANI,124803,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:30:38",813,802,1,4,6,524,513,1,4,6,498,26,900,376,334,13,9,142
