precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
26,MARAMUREŞ,"ȘCOALA GENERALĂ",326,GROŞI,106363,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:12:02",1171,1161,4,4,2,576,570,0,4,2,560,16,1300,724,275,52,57,118,29,29
26,MARAMUREŞ,"ȘCOALA GENERALĂ",325,GROŞI,106363,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:56:30",434,427,0,7,0,168,161,0,7,0,160,8,483,315,105,13,24,14,4,0
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „GHEORGHE LUPAN”",324,GROŞI,106363,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:25:47",1544,1510,3,26,5,880,848,1,26,5,857,23,1600,720,529,67,62,166,27,6
