precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DEDIU COSTEL-PARTIDUL SOCIAL DEMOCRAT-voturi","ICHIM ION-PARTIDUL NAȚIONAL LIBERAL-voturi","SOARE VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CAŞIŞ OCTAVIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","BLAGA DANIEL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
4,BACĂU,"PRIMARIA COMUNEI PARAVA (SALA DE FESTIVITATI)",487,PARAVA,24034,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:14:29",743,720,0,8,15,390,367,0,8,15,365,25,800,410,197,95,43,11,19
4,BACĂU,"ŞCOALA GIMNAZIALA PARAVA (GRADINITA CU PROGRAM NORMAL PARAVA)",488,PARAVA,24034,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:54:16",227,216,0,7,4,162,151,0,7,4,155,7,200,38,71,20,42,11,11
4,BACĂU,"ŞCOALA GIMNAZIALĂ SATUL DRĂGUŞANI",489,PARAVA,24034,5,PART,PRCNCT,P,P_SV,"2024-06-10 05:41:35",700,670,0,8,22,353,323,0,8,22,335,18,700,347,163,145,22,5,0
4,BACĂU,"ŞCOALA GIMNAZIALĂ SATUL RĂDOAIA",490,PARAVA,24034,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:12:16",987,971,0,5,11,234,218,0,5,11,209,25,1100,866,88,52,31,3,35
