precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CALOTĂ GEORGIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MARIN IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","DOBRESCU VIOREL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
10,BUZĂU,"CAMINUL CULTURAL BAILE",138,"BALTA ALBĂ",44934,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:49:51",380,322,0,42,16,302,244,0,42,16,295,7,373,71,112,171,12
10,BUZĂU,"GRĂDINIŢA CU PROGRAM NORMAL SAT BALTA ALBĂ",136,"BALTA ALBĂ",44934,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:35:27",450,408,0,24,18,310,268,0,24,18,302,8,448,138,159,106,37
10,BUZĂU,"ŞCOALA GIMNAZIALĂ SAT AMARA",137,"BALTA ALBĂ",44934,1,PROV,PRCNCT,P,P_SV,"2024-06-11 11:26:35",1247,1123,2,75,47,921,798,1,75,47,905,16,1235,314,412,473,20
