precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CARP IONEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NĂSTASE ANDREI-DINU-PARTIDUL NAȚIONAL LIBERAL-voturi","BUTNARU ANTONETA-PARTIDUL SOCIAL DEMOCRAT-voturi"
39,VASLUI,"ŞCOALA PRIMARĂ ”ÎNV. ION BUSUIOC” FUNDĂTURA",181,ARSURA,162149,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:50:10",315,296,0,12,7,212,193,0,12,7,203,9,308,96,0,190,13
39,VASLUI,"ŞCOALA PRIMARĂ MIHAIL KOGĂLNICEANU",182,ARSURA,162149,2,PART,PRCNCT,P,P_SV,"2024-06-10 03:34:30",80,67,0,9,4,40,27,0,9,4,38,2,73,33,1,24,13
39,VASLUI,"ŞCOALA PRIMARĂ ”NICOLAE GH. LUPU” ARSURA",180,ARSURA,162149,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:50:34",564,534,0,16,14,364,334,0,16,14,334,10,594,250,11,197,126
39,VASLUI,"ŞCOALA PRIMARĂ PÎHNEŞTI",183,ARSURA,162149,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:00:17",394,383,0,3,8,202,191,0,3,8,196,6,388,186,17,140,39
