precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","FORȚA DREPTEI-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
3,ARGEŞ,"GRĂDINIŢA DRĂGHICEŞTI",276,CĂLINEŞTI,15108,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:57:10",861,855,0,4,2,476,470,0,4,2,449,27,800,324,56,47,174,109,38,7,18
3,ARGEŞ,"GRĂDINIȚA UDENI",278,CĂLINEŞTI,15108,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:20:47",566,558,0,8,0,365,357,0,8,0,340,25,800,435,41,6,190,49,52,1,1
3,ARGEŞ,"SCOALA CALINESTI",272,CĂLINEŞTI,15108,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:37:19",1667,1634,2,6,25,848,817,0,6,25,795,53,1600,752,126,56,330,167,89,13,14
3,ARGEŞ,"SCOALA CIOCANESTI",274,CĂLINEŞTI,15108,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:22:24",751,747,2,0,2,409,407,0,0,2,397,12,800,391,68,35,137,128,21,6,2
3,ARGEŞ,"SCOALA CIRSTIENI",273,CĂLINEŞTI,15108,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:16:13",643,637,0,6,0,319,313,0,6,0,301,18,800,481,42,10,203,34,7,4,1
3,ARGEŞ,"ȘCOALA GENERALĂ VALEA CORBULUI",280,CĂLINEŞTI,15108,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:50:35",968,962,0,6,0,446,440,0,6,0,379,67,900,454,21,7,251,59,1,4,36
3,ARGEŞ,"SCOALA GENERALA VRANESTI",271,CĂLINEŞTI,15108,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:22:03",1038,1032,3,3,0,570,567,0,3,0,548,20,910,340,99,34,185,168,51,4,7
3,ARGEŞ,"SCOALA GLODU",275,CĂLINEŞTI,15108,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:58:02",580,571,0,9,0,342,333,0,9,0,322,20,800,457,38,21,184,46,32,1,0
3,ARGEŞ,"SCOALA RADU NEGRU",277,CĂLINEŞTI,15108,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:29:24",524,518,0,4,2,308,302,0,4,2,300,8,800,492,56,5,127,83,25,2,2
3,ARGEŞ,"SCOALA RINCACIOV",279,CĂLINEŞTI,15108,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:32:12",524,517,0,7,0,302,295,0,7,0,285,17,800,498,48,18,152,31,23,11,2
3,ARGEŞ,"SCOALA VALENI",281,CĂLINEŞTI,15108,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:08:58",884,876,2,4,2,459,452,1,4,2,439,20,800,341,83,27,167,105,47,4,6
