precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
34,SIBIU,"CLADIREA PRIMARIEI (FOSTA SCOALA), DUPUS NR. 107.",231,AŢEL,143995,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:01:38",202,189,4,7,2,80,71,0,7,2,80,0,209,129,28,36,11,5
34,SIBIU,"PRIMARIA ATEL",230,AŢEL,143995,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:25:54",1183,1149,1,3,30,622,589,0,3,30,606,16,1280,658,336,201,51,18
