precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL PRO ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
33,SĂLAJ,"PIATA AGROALIMENTARA ILEANDA",189,ILEANDA,141580,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 19:16:24",952,937,1,13,1,621,607,0,13,1,591,30,1000,379,198,46,214,14,64,47,8
33,SĂLAJ,"ŞCOALA GENERALĂ",198,ILEANDA,141580,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 00:52:03",46,40,0,5,1,28,22,0,5,1,28,0,51,23,12,2,9,0,2,3,0
33,SĂLAJ,"ŞCOALA GENERALĂ",195,ILEANDA,141580,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 00:22:50",114,104,0,9,1,68,58,0,9,1,65,3,121,53,24,3,6,1,21,10,0
33,SĂLAJ,"ŞCOALA GENERALĂ",190,ILEANDA,141580,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:37:05",155,145,2,7,1,119,109,2,7,1,115,4,161,42,41,27,22,1,11,9,4
33,SĂLAJ,"ŞCOALA GENERALĂ",193,ILEANDA,141580,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:27:08",91,83,0,8,0,53,45,0,8,0,49,4,101,48,12,5,8,11,7,6,0
33,SĂLAJ,"ŞCOALA GENERALĂ",196,ILEANDA,141580,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 00:44:29",103,100,0,2,1,66,63,0,2,1,65,1,121,55,22,10,21,0,8,3,1
33,SĂLAJ,"ŞCOALA GENERALĂ",194,ILEANDA,141580,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:49:13",98,82,0,16,0,67,51,0,16,0,60,7,100,33,27,2,14,4,0,6,7
33,SĂLAJ,"ŞCOALA GENERALĂ",197,ILEANDA,141580,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:01:44",83,71,2,10,0,59,49,0,10,0,59,0,98,39,9,7,6,13,8,14,2
33,SĂLAJ,"ŞCOALA GENERALĂ DOLHENI",191,ILEANDA,141580,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:18:45",79,71,0,6,2,53,45,0,6,2,49,2,91,38,8,12,16,4,2,6,1
33,SĂLAJ,"ŞCOALA GENERALĂ LUMINIŞU",192,ILEANDA,141580,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 00:21:41",87,70,1,15,1,67,50,1,15,1,66,1,91,24,10,4,37,0,9,5,1
