precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GYERKÓ LEVENTE-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
21,HARGHITA,"PRIMĂRIA COMUNEI PORUMBENI",213,PORUMBENI,86487,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:23:43",1035,1012,4,1,18,628,608,1,1,18,616,12,1100,472,616
21,HARGHITA,"SALA DE MANIFESTATII",214,PORUMBENI,86487,2,PART,PRCNCT,P,P_SV,"2024-06-10 03:12:31",413,395,2,3,13,249,232,1,3,13,246,3,480,231,246
