precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DUICU IUSTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","DUICU LAURIAN-IULIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BULACU ION-PARTIDUL NAȚIONAL LIBERAL-voturi","BICULESCU VIOREL-PARTIDUL S.O.S. ROMÂNIA-voturi","CEDICĂ CONSTANTIN-PARTIDUL SOCIALIST ROMÂN-voturi"
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ”BARTOLOMEU VALERIU ANANIA”GLĂVILE",244,GLĂVILE,170168,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:28:38",819,763,3,29,24,468,416,0,29,23,452,16,850,382,338,40,18,16,40
40,VÂLCEA,"ŞCOALA PRIMARĂ ANINOASA",245,GLĂVILE,170168,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:27:58",122,96,0,21,5,109,83,0,21,5,105,4,120,11,80,15,9,1,0
40,VÂLCEA,"ŞCOALA PRIMARĂ OLTEANCA",246,GLĂVILE,170168,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:41:03",571,494,0,56,21,401,324,0,56,21,383,18,570,169,335,36,1,11,0
