precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MOCANU CARMEN-LUIZA-PARTIDUL NAȚIONAL LIBERAL-voturi","ŢIPIRIGAN DUMITRU-PARTIDUL SOCIAL DEMOCRAT-voturi","CĂLIN ADRIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","MOCANU ELENA-PARTIDUL MIȘCAREA POPULARĂ-voturi"
38,TULCEA,ŞCOALA,85,BEŞTEPE,161552,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:47:11",66,61,0,5,0,40,35,0,5,0,39,1,64,24,14,20,4,1
38,TULCEA,"ŞCOALA GIMNAZIALĂ BEŞTEPE",84,BEŞTEPE,161552,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:52:04",1340,1311,2,1,26,620,593,0,1,26,600,20,1472,852,157,267,156,20
