precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","GHEORGHE MARIAN-voturi"
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1",182,GRATIA,153062,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:58:30",950,897,0,22,31,673,620,0,22,31,661,12,1015,342,52,134,448,21,6
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ GRATIA",183,GRATIA,153062,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:54:17",1076,1015,0,34,27,721,660,0,34,27,700,21,1150,429,18,104,511,50,17
