precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
2,ARAD,"CĂMINUL CULTURAL BIRCHIŞ",210,BIRCHIŞ,10006,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:05:11",530,502,0,19,9,333,305,0,19,9,325,8,570,237,35,124,140,3,23
2,ARAD,"CĂMINUL CULTURAL OSTROV",212,BIRCHIŞ,10006,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:05:38",225,198,0,19,8,157,130,0,19,8,155,2,220,63,26,60,61,4,4
2,ARAD,"ŞCOALA GIMNAZIALĂ CĂPĂLNAŞ",211,BIRCHIŞ,10006,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:06:44",726,713,0,8,5,417,404,0,8,5,404,13,796,379,173,132,80,13,6
