precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"COCIŞ RAUL-TEODOR-PARTIDUL NAȚIONAL LIBERAL-voturi","CIPĂIAN DRAGOŞ-CIPRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MOLDOVAN IOAN-CRISTIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MOLDOVAN IOSIF-UNIUNEA SALVAȚI ROMÂNIA-voturi","STOICA SERGIU-OLIVIAN-ALIANȚA PMP - FORȚA DREPTEI-voturi"
28,MUREŞ,"CĂMINUL CULTURAL GHEJA-LUDUȘ",163,"ORAŞ LUDUŞ",114710,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:58:10",1274,1260,4,8,2,700,690,0,8,2,680,20,1390,690,267,59,330,13,11
28,MUREŞ,"CĂMINUL CULTURAL ROȘIORI-LUDUȘ",164,"ORAŞ LUDUŞ",114710,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:53:53",1056,1044,2,10,0,564,554,0,10,0,545,19,1148,584,275,26,228,6,10
28,MUREŞ,"GRĂDINIŢA ”CĂSUŢA FERMECATĂ” - LUDUȘ",169,"ORAŞ LUDUŞ",114710,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:03:34",1264,1252,2,7,3,639,627,2,7,3,623,14,1400,761,195,36,360,9,23
28,MUREŞ,"GRĂDINIȚA CU PROGRAM NORMAL NR. 02 - LUDUȘ",170,"ORAŞ LUDUŞ",114710,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:31:18",1396,1381,4,8,3,756,745,0,8,3,730,26,1550,794,251,49,390,15,25
28,MUREŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 01 - LUDUȘ",171,"ORAŞ LUDUŞ",114710,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:06:24",1116,1108,1,7,0,558,551,0,7,0,535,23,1220,662,233,40,231,7,24
28,MUREŞ,"LICEUL TEHNOLOGIC NR. 1 - LUDUȘ",168,"ORAŞ LUDUŞ",114710,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:26:34",1259,1248,0,8,3,641,630,0,8,3,622,19,1390,749,232,25,343,13,9
28,MUREŞ,"SALA DE SPORT LUDUŞ",165,"ORAŞ LUDUŞ",114710,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:46:30",1530,1516,4,8,2,816,805,1,8,2,797,8,1700,895,342,36,396,0,23
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”IOAN VLĂDUŢIU” - LUDUȘ",166,"ORAŞ LUDUŞ",114710,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:08:33",1299,1286,5,7,1,740,732,0,7,1,725,15,1440,700,285,21,380,9,30
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”IOAN VLĂDUŢIU” - LUDUȘ",167,"ORAŞ LUDUŞ",114710,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:09:03",1616,1607,1,4,4,874,866,0,4,4,859,15,1800,926,331,35,440,23,30
28,MUREŞ,"ŞCOALA GIMNAZIALĂ NR.1 - LUDUȘ",173,"ORAŞ LUDUŞ",114710,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:49:11",1090,1082,1,7,0,613,606,0,7,0,575,38,1200,587,225,45,270,3,32
28,MUREŞ,"ŞCOALA GIMNAZIALĂ NR.1 - LUDUȘ",172,"ORAŞ LUDUŞ",114710,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:09:36",1102,1085,2,13,2,540,524,1,13,2,527,13,1200,660,220,19,261,12,15
