precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MAZĂRE ANDREI-ŞTEFĂNIŢĂ-PARTIDUL NAȚIONAL LIBERAL-voturi","HAJA MARIUS-DUMITRU-PARTIDUL SOCIAL DEMOCRAT-voturi","LEUŞTIAN TEODOR-ŞTEFAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
35,SUCEAVA,"CĂMIN CULTURAL COZĂNEŞTI",283,DORNA-ARINI,148131,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:46:47",1214,1206,1,5,2,759,752,0,5,2,744,15,1275,516,607,118,19
35,SUCEAVA,"GRĂDINIŢA CU PROGRAM NORMAL RUSCA, SAT RUSCA, NR. 59A",285,DORNA-ARINI,148131,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:21:43",643,639,0,1,3,438,434,0,1,3,430,8,798,360,392,35,3
35,SUCEAVA,"SEDIU ASOCIAŢIE ”OBŞTEA GURA NEGRII” DORNA ARINI",284,DORNA-ARINI,148131,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:11:25",577,575,1,1,0,357,356,0,1,0,350,7,595,238,313,31,6
