precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi"
8,BRAŞOV,"CĂMINUL CULTURAL LOVNIC",374,JIBERT,41284,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:01:45",495,478,0,15,2,275,258,0,15,2,254,21,300,25,29,18,7,150,6,34,10
8,BRAŞOV,"ŞCOALA GENERALĂ DACIA",372,JIBERT,41284,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:49:17",633,615,0,15,3,379,361,0,15,3,353,26,700,321,177,6,18,126,6,12,8
8,BRAŞOV,"ŞCOALA GENERALĂ GRÎNARI",373,JIBERT,41284,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:02:13",191,181,2,7,1,189,181,0,7,1,179,8,500,313,21,7,91,33,1,23,3
8,BRAŞOV,"ŞCOALA GENERALĂ JIBERT",371,JIBERT,41284,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:14:12",619,612,1,6,0,311,304,1,6,0,288,23,707,396,74,16,7,98,10,73,10
8,BRAŞOV,"ŞCOALA GENERALĂ VĂLENI",375,JIBERT,41284,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:29:47",141,134,0,7,0,98,91,0,7,0,87,11,139,41,19,2,3,27,1,2,33
