precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MATEI ALINA-ELENA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NIDELCU IONUŢ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","IANCU ŞTEFAN-ALIANȚA ELECTORALĂ PSD PNL-voturi"
25,ILFOV,"ŞCOALA GENERALĂ NR. 1",207,DĂRĂŞTI-ILFOV,102525,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:54:19",1232,1163,0,30,39,929,860,0,30,39,904,25,1380,451,90,153,661
25,ILFOV,"ŞCOALA GENERALĂ NR. 1",206,DĂRĂŞTI-ILFOV,102525,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:37:37",1118,1049,1,26,42,799,731,0,26,42,775,23,1100,301,105,164,506
