precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
23,IALOMIŢA,"CASA DE CULTURĂ",62,"MUNICIPIUL URZICENI",100683,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:38:43",1123,1114,0,9,0,564,555,0,9,0,543,21,1250,686,29,205,180,44,85
23,IALOMIŢA,"CLUBUL SINDICATELOR",65,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 15:35:39",1541,1529,0,11,1,740,728,0,11,1,696,34,1700,960,40,268,242,57,89
23,IALOMIŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT",59,"MUNICIPIUL URZICENI",100683,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:42:25",639,631,0,8,0,327,319,0,8,0,317,10,750,423,32,130,80,13,62
23,IALOMIŢA,"GRĂDINIŢA DE COPII",61,"MUNICIPIUL URZICENI",100683,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:41:01",944,931,3,8,2,470,460,0,8,2,449,21,1000,530,39,152,149,33,76
23,IALOMIŢA,"GRUPUL ŞCOLAR ’’SF. ECATERINA’’",63,"MUNICIPIUL URZICENI",100683,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:39:49",1229,1221,0,7,1,620,612,0,7,1,609,11,1400,780,44,238,195,41,91
23,IALOMIŢA,"INTERNATUL COLEGIULUI NATIONAL GRIGORE MOISIL",68,"MUNICIPIUL URZICENI",100683,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:21:04",1054,1052,0,2,0,502,500,0,2,0,483,19,1150,648,32,181,167,30,73
23,IALOMIŢA,"LICEUL TEHNOLOGIC URZICENI",69,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:25:02",1649,1648,1,0,0,777,777,0,0,0,745,32,1828,1051,65,225,318,56,81
23,IALOMIŢA,"ŞCOALA CU CLASELE I-VIII NR.3 DIN URZICENI",60,"MUNICIPIUL URZICENI",100683,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:53:45",1268,1255,0,11,2,583,570,0,11,2,559,24,1400,817,33,209,230,35,52
23,IALOMIŢA,"SCOALA GENERALA ALEXANDRU ODOBESCU",64,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:04:28",1076,1065,2,9,0,565,556,0,9,0,549,16,1200,635,57,187,188,36,81
23,IALOMIŢA,"ŞCOALA GENERALĂ ION HELIADE RADULESCU",66,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:12:12",1376,1372,0,4,0,639,635,0,4,0,618,21,1550,911,49,257,204,40,68
23,IALOMIŢA,"ŞCOALA GENERALĂ ION HELIADE RADULESCU",67,"MUNICIPIUL URZICENI",100683,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:49:38",1148,1146,0,2,0,518,516,0,2,0,506,12,1300,782,38,216,152,37,63
