precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALEXE DANIELA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PUPĂZĂ-ROŞU SEVASTIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","PUPĂZĂ IONUŢ-ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi","MARIN CONSTANTIN-VALENTIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","CIUCĂ ION-PARTIDUL MIȘCAREA POPULARĂ-voturi"
3,ARGEŞ,"CĂMINUL CULTURAL FÎLFANI",478,STOLNICI,18938,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:10:01",971,957,0,14,0,534,520,0,14,0,524,10,1093,559,178,236,77,31,2
3,ARGEŞ,"GRĂDINIȚA CU PROGRAM NORMAL STOLNICI",477,STOLNICI,18938,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:18:14",1412,1400,1,11,0,894,883,0,11,0,872,22,1500,606,283,478,41,26,44
